longitude,latitude,area,type
0.996,51.846,3782,graveyard
-1.256,50.634,4804,graveyard
-1.636,54.802,7542,graveyard
-0.373,50.913,2869,graveyard
-1.227,51.731,891,graveyard
-1.634,53.759,7326,graveyard
-1.220,51.731,5331,graveyard
-1.508,51.639,8094,graveyard
-4.529,51.910,2978,graveyard
0.899,51.889,1610,graveyard
-0.385,51.701,43702,graveyard
-0.342,51.751,4227,graveyard
-4.318,56.464,67,graveyard
-0.825,51.732,7898,graveyard
0.193,51.267,9623,graveyard
-3.475,50.640,3635,graveyard
-1.681,53.681,31544,graveyard
-2.117,51.464,3470,graveyard
-0.806,51.746,2525,graveyard
-3.789,51.596,7686,graveyard
-3.787,51.596,3277,graveyard
-0.021,51.850,4520,graveyard
-3.516,52.921,2297,graveyard
-2.709,53.529,6311,graveyard
-1.559,54.778,7744,graveyard
-1.661,53.758,12051,graveyard
0.232,51.413,16230,graveyard
-0.572,51.247,2245,graveyard
-0.973,52.981,6608,graveyard
-2.719,52.045,10798,graveyard
-2.181,53.424,2667,graveyard
-2.186,53.422,2302,graveyard
-2.186,53.421,2259,graveyard
-2.131,51.471,5279,graveyard
0.749,51.811,5380,graveyard
-2.631,53.341,9660,graveyard
-2.427,51.794,6489,graveyard
-2.207,53.413,3563,graveyard
1.074,51.944,4063,graveyard
-1.929,52.409,21864,graveyard
-0.292,51.853,7727,graveyard
-1.178,52.979,3449,graveyard
-0.902,51.538,1373,graveyard
-0.902,51.538,671,graveyard
-1.408,53.212,27713,graveyard
-2.106,51.481,5769,graveyard
-2.518,53.548,266,graveyard
-3.316,59.129,3300,graveyard
-0.649,51.294,8958,graveyard
-1.858,51.428,5509,graveyard
1.222,51.853,11365,graveyard
-4.917,57.611,786,graveyard
-1.308,53.017,4233,graveyard
-1.278,51.836,1537,graveyard
-4.188,50.955,2436,graveyard
-4.149,50.931,3035,graveyard
-2.701,51.478,11337,graveyard
1.724,52.650,1946,graveyard
1.222,51.136,6356,graveyard
-1.338,51.595,1628,graveyard
-4.236,55.877,186982,graveyard
-3.615,50.798,4939,graveyard
-3.177,53.369,3665,graveyard
-1.644,53.142,3653,graveyard
-1.303,53.373,14888,graveyard
-2.483,54.573,6407,graveyard
-3.323,50.657,5690,graveyard
-3.313,50.664,2465,graveyard
-3.303,50.659,4857,graveyard
-2.809,52.538,3190,graveyard
-3.545,50.861,3925,graveyard
0.267,51.450,5999,graveyard
-1.218,51.786,2298,graveyard
-1.356,51.592,2004,graveyard
0.257,51.429,4192,graveyard
-3.620,50.519,23805,graveyard
-3.615,50.522,19424,graveyard
-3.183,50.792,21853,graveyard
0.526,51.455,2584,graveyard
-3.495,50.770,1143,graveyard
0.073,51.320,9926,graveyard
-4.940,55.946,523,graveyard
-2.415,51.318,12922,graveyard
-2.249,51.351,5939,graveyard
-5.677,54.651,27929,graveyard
-1.415,53.667,2718,graveyard
-0.790,51.753,5075,graveyard
-1.869,53.182,2567,graveyard
-1.825,52.448,4001,graveyard
-3.739,50.729,3734,graveyard
-0.087,51.411,5940,graveyard
-3.928,51.622,2308,graveyard
-1.272,53.020,6365,graveyard
-3.357,50.767,3570,graveyard
-1.312,54.566,3063,graveyard
-2.058,53.487,8042,graveyard
-1.503,55.127,3293,graveyard
-2.114,52.071,2798,graveyard
-1.331,51.620,7187,graveyard
-5.679,50.125,2175,graveyard
-2.359,51.388,1849,graveyard
-0.966,50.844,4277,graveyard
-1.089,52.872,3105,graveyard
-1.310,51.801,1538,graveyard
-0.234,51.820,2133,graveyard
-4.046,57.813,10002,graveyard
-4.050,57.813,2309,graveyard
-4.203,57.694,21412,graveyard
-4.491,57.599,21569,graveyard
-4.158,57.829,2901,graveyard
-4.026,57.879,5958,graveyard
-6.125,56.891,7469,graveyard
-0.952,53.073,5205,graveyard
-5.535,54.629,16642,graveyard
-4.071,53.188,5464,graveyard
-3.502,50.703,3439,graveyard
-1.204,50.667,5805,graveyard
-3.434,50.732,4285,graveyard
-3.452,50.723,2604,graveyard
-1.197,54.124,11871,graveyard
-3.449,50.625,4833,graveyard
-3.493,50.680,3413,graveyard
-3.494,50.680,6044,graveyard
-0.394,54.286,12026,graveyard
-1.180,52.980,6297,graveyard
-2.660,53.212,6486,graveyard
-1.192,54.119,1154,graveyard
-2.721,53.746,9544,graveyard
-5.958,54.606,14811,graveyard
-4.059,50.388,18834,graveyard
-3.780,50.809,1211,graveyard
-3.815,50.800,1432,graveyard
-2.115,51.722,2938,graveyard
-2.607,53.026,5924,graveyard
-1.453,52.237,3252,graveyard
-1.931,54.381,5974,graveyard
-2.416,51.332,2507,graveyard
-3.562,50.702,4494,graveyard
-3.883,50.680,2654,graveyard
-0.982,51.751,15105,graveyard
0.156,51.440,10464,graveyard
-4.024,57.575,5810,graveyard
-4.013,57.550,2699,graveyard
-3.538,50.551,3771,graveyard
0.122,51.421,7376,graveyard
0.212,51.367,6075,graveyard
