from,to,volume
IN,MA,819
IN,MI,12702
IN,MN,1388
IN,MS,2858
IN,MO,3462
IN,MT,391
IN,NE,669
IN,NV,850
IN,NH,327
IN,NJ,312
IN,NM,0
IN,NY,2007
IN,NC,3506
IN,ND,113
IN,OH,14252
IN,OK,813
IN,OR,854
IN,PA,2045
IN,RI,0
IN,SC,3095
IN,SD,144
IN,TN,4928
IN,TX,9704
IN,UT,355
IN,VT,31
IN,VA,2259
IN,WA,1118
IN,WV,1227
IN,WI,2663
IN,WY,227
IA,AL,704
IA,AK,26
IA,AZ,3049
IA,AR,119
IA,CA,2461
IA,CO,2385
IA,CT,86
IA,DE,205
IA,DC,162
IA,FL,3538
IA,GA,1995
IA,HI,586
IA,ID,178
IA,IL,7727
IA,IN,311
IA,IA,-1
IA,KS,3704
IA,KY,265
IA,LA,100
IA,ME,0
IA,MD,322
IA,MA,79
IA,MI,506
IA,MN,4626
IA,MS,70
IA,MO,4904
IA,MT,142
IA,NE,6072
IA,NV,508
IA,NH,14
IA,NJ,163
IA,NM,434
IA,NY,2352
IA,NC,1976
IA,ND,166
IA,OH,2395
IA,OK,603
IA,OR,139
IA,PA,365
IA,RI,0
IA,SC,1036
IA,SD,3275
IA,TN,588
IA,TX,6379
IA,UT,754
IA,VT,53
IA,VA,1388
IA,WA,647
IA,WV,0
IA,WI,3072
IA,WY,30
KS,AL,357
KS,AK,800
KS,AZ,3802
KS,AR,1072
KS,CA,4826
KS,CO,5071
KS,CT,79
KS,DE,747
KS,DC,0
KS,FL,2970
KS,GA,1110
KS,HI,1385
KS,ID,571
KS,IL,2047
KS,IN,918
KS,IA,2274
KS,KS,-1
KS,KY,3016
KS,LA,1056
KS,ME,67
KS,MD,573
KS,MA,747
KS,MI,1825
KS,MN,936
KS,MS,583
KS,MO,21037
KS,MT,1031
KS,NE,4355
KS,NV,412
KS,NH,41
KS,NJ,248
KS,NM,378
KS,NY,1262
KS,NC,1815
KS,ND,306
KS,OH,803
KS,OK,5393
KS,OR,899
KS,PA,1065
KS,RI,0
KS,SC,1091
KS,SD,906
KS,TN,796
KS,TX,12049
KS,UT,964
KS,VT,0
KS,VA,1875
KS,WA,1318
KS,WV,113
KS,WI,1186
KS,WY,675
KY,AL,4216
KY,AK,162
KY,AZ,1265
KY,AR,831
KY,CA,2010
KY,CO,2754
KY,CT,233
KY,DE,94
KY,DC,110
KY,FL,11330
KY,GA,2027
KY,HI,170
KY,ID,40
KY,IL,3289
KY,IN,9224
KY,IA,393
KY,KS,739
KY,KY,-1
KY,LA,3041
KY,ME,512
KY,MD,745
KY,MA,399
KY,MI,2221
KY,MN,443
KY,MS,251
KY,MO,2042
KY,MT,26
KY,NE,607
KY,NV,846
KY,NH,270
KY,NJ,112
KY,NM,129
KY,NY,986
KY,NC,3906
KY,ND,0
KY,OH,16598
KY,OK,214
KY,OR,942
KY,PA,921
KY,RI,86
KY,SC,1408
KY,SD,57
KY,TN,13720
KY,TX,3841
KY,UT,368
KY,VT,740
KY,VA,2431
KY,WA,475
KY,WV,1061
KY,WI,1661
KY,WY,568
LA,AL,2837
LA,AK,83
LA,AZ,1416
LA,AR,2311
LA,CA,4441
LA,CO,1216
LA,CT,597
LA,DE,468
LA,DC,0
LA,FL,4389
LA,GA,3082
LA,HI,320
LA,ID,264
LA,IL,2373
LA,IN,747
LA,IA,360
LA,KS,1097
LA,KY,722
LA,LA,-1
LA,ME,38
LA,MD,1281
LA,MA,633
LA,MI,1254
LA,MN,382
LA,MS,12049
LA,MO,2063
LA,MT,106
LA,NE,199
LA,NV,657
LA,NH,0
LA,NJ,353
LA,NM,524
LA,NY,2069
LA,NC,2454
LA,ND,778
LA,OH,1463
LA,OK,2107
LA,OR,238
LA,PA,986
LA,RI,0
LA,SC,1913
LA,SD,408
LA,TN,2226
LA,TX,29108
LA,UT,241
LA,VT,24
LA,VA,2609
LA,WA,1278
LA,WV,572
LA,WI,518
LA,WY,72
ME,AL,0
ME,AK,16
ME,AZ,353
ME,AR,27
ME,CA,1294
ME,CO,912
ME,CT,1342
ME,DE,101
ME,DC,61
ME,FL,2783
ME,GA,89
ME,HI,124
ME,ID,0
ME,IL,0
ME,IN,128
ME,IA,101
ME,KS,0
ME,KY,118
